color = { 161 36 8 }
graphical_culture = AustriaHungaryGC
	economic_policy = interventionism
	trade_policy = protectionism
	religious_policy = secularized
	citizenship_policy = limited_citizenship
	war_policy = pacifism
}

party = {
	name = "HUN_communist"
	start_date = 678.1.1
	end_date = 2000.1.1

	ideology = communist

	economic_policy = planned_economy
	trade_policy = protectionism
	religious_policy = pro_atheism
	citizenship_policy = full_citizenship
	war_policy = jingoism
}

party = {
	name = "HUN_conservative_2"
	start_date = 1895.1.1
	end_date = 2000.1.1

	ideology = conservative

	economic_policy = interventionism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = limited_citizenship
	war_policy = pro_military
}

party = {
	name = "HUN_conservative_3"
	start_date = 1881.1.1
	end_date = 2000.1.1

	ideology = conservative

	economic_policy = interventionism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = full_citizenship
	war_policy = anti_military
}

party = {
	name = "HUN_conservative_4"
	start_date = 1881.1.1
	end_date = 2000.1.1

	ideology = conservative

	economic_policy = interventionism
	trade_policy = protectionism
	religious_policy = pluralism
	citizenship_policy = full_citizenship
	war_policy = anti_military
}

party = {
	name = "HUN_reactionary_2"
	start_date = 1881.1.1
	end_date = 2000.1.1

	ideology = reactionary

	economic_policy = laissez_faire
	trade_policy = protectionism
	religious_policy = pluralism
	citizenship_policy = residency
	war_policy = anti_military
}

party = {
	name = "HUN_fascist"
	start_date = 735.1.1
	end_date = 2000.1.1

	ideology = fascist

	economic_policy = state_capitalism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}

unit_names = {
	dreadnought = {
		"Szent Istvan" Zrinyi  rp d Szigetv r Sava Temes Bodrog Szamos K r s Maros Leitha Balaton Csepel Lika Orjen T tra Triglav Dinara Csik s Pand r R ka Turul Husz r Ulan 
	}
	ironclad = {
		Zrinyi  rp d Szigetv r Sava Temes Bodrog Szamos K r s Maros Leitha Balaton Csepel Lika Orjen T tra Triglav Dinara Csik s 	Pand r R ka Turul Husz r Ulan 
		
		
	}
	manowar = {
		Zrinyi  rp d Szigetv r Sava Temes Bodrog Szamos K r s Maros Leitha Balaton Csepel Lika Orjen T tra Triglav Dinara Csik s 	Pand r R ka Turul Husz r Ulan 
		
	}
	cruiser = {
		Zrinyi  rp d Szigetv r Sava Temes Bodrog Szamos K r s Maros Leitha Balaton Csepel Lika Orjen T tra Triglav Dinara Csik s 	Pand r R ka Turul Husz r Ulan 
		
	}
	frigate = {
		Zrinyi  rp d Szigetv r Sava Temes Bodrog Szamos K r s Maros Leitha Balaton Csepel Lika Orjen T tra Triglav Dinara Csik s 	Pand r R ka Turul Husz r Ulan 
		
	}
	monitor = {
		Zrinyi  rp d Szigetv r Sava Temes Bodrog Szamos K r s Maros Leitha Balaton Csepel Lika Orjen T tra Triglav Dinara Csik s 	Pand r R ka Turul Husz r Ulan 
		
		
	}
	clipper_transport = {
		
	}
	steam_transport = {
		
	}
	commerce_raider = {
		Zrinyi  rp d Szigetv r Sava Temes Bodrog Szamos K r s Maros Leitha Balaton Csepel Lika Orjen T tra Triglav Dinara Csik s Pand r R ka Turul Husz r Ulan 	
		
		
	}
}
